orientation;acceleration_x;acceleration_y;acceleration_z;touch_count;first_touch_finger_id;first_touch_delta_time;first_touch_tap_count;first_touch_phase;first_touch_position_x;first_touch_position_y;second_touch_finger_id;second_touch_delta_time;second_touch_tap_count;second_touch_phase;second_touch_position_x;second_touch_position_y;current_game_state;game_event;;;;;
FaceUp;0.0390625;0.001953125;-0.9843749;0;;;;;;;;;;;;;GS_START_MENU;;;;;;
FaceUp;0.1035156;-0.2421875;-0.9492187;0;;;;;;;;;;;;;GS_SEED;;;;;;
FaceUp;0.09570313;-0.2363281;-0.9609374;0;;;;;;;;;;;;;GS_SEED;;;;;;
FaceUp;0.1054687;-0.2460937;-0.9492187;0;;;;;;;;;;;;;GS_SEED;;;;;;
FaceUp;0.1035156;-0.3164062;-0.9335937;0;;;;;;;;;;;;;GS_SEED;;;;;;
FaceUp;0.03515625;-0.2226563;-1.011719;0;;;;;;;;;;;;;GS_SEED;;;;;;
FaceUp;0.1015625;-0.2851563;-0.9550781;0;;;;;;;;;;;;;GS_SEED;;;;;;
FaceUp;0.09765624;-0.2929687;-0.9648437;0;;;;;;;;;;;;;GS_SEED;;;;;;
FaceUp;-0.04101563;-0.2402344;-0.9394531;0;;;;;;;;;;;;;GS_SEED;;;;;;
FaceUp;-0.09179687;-0.2421875;-0.9394531;0;;;;;;;;;;;;;GS_SEED;;;;;;
FaceUp;-0.09960937;-0.2675781;-0.9140625;0;;;;;;;;;;;;;GS_SEED;;;;;;
FaceUp;-0.08593749;-0.2714843;-0.9589843;0;;;;;;;;;;;;;GS_SEED;;;;;;
FaceUp;-0.1113281;-0.2695312;-0.9296874;0;;;;;;;;;;;;;GS_SEED;;;;;;
FaceUp;-0.08984375;-0.2753906;-0.9511718;0;;;;;;;;;;;;;GS_SEED;;;;;;
FaceUp;-0.0625;-0.2753906;-0.9335937;0;;;;;;;;;;;;;GS_SEED;;;;;;
FaceUp;0.005859375;-0.2910156;-0.9453124;0;;;;;;;;;;;;;GS_SEED;;;;;;
FaceUp;0.03320312;-0.3046875;-0.9453124;0;;;;;;;;;;;;;GS_SEED;;;;;;
FaceUp;0.05273437;-0.3027344;-0.9472656;0;;;;;;;;;;;;;GS_SEED;;;;;;
FaceUp;0.08984375;-0.3066406;-0.9374999;0;;;;;;;;;;;;;GS_SEED;;;;;;
FaceUp;0.06054687;-0.2949218;-0.921875;0;;;;;;;;;;;;;GS_SEED;;;;;;
FaceUp;0.0546875;-0.3046875;-0.9414062;0;;;;;;;;;;;;;GS_SEED;;;;;;
FaceUp;0.05664063;-0.3027344;-0.9374999;0;;;;;;;;;;;;;GS_SEED;;;;;;
FaceUp;0.0546875;-0.3007813;-0.9433593;0;;;;;;;;;;;;;GS_SEED;;;;;;
FaceUp;0.046875;-0.3007813;-0.9453124;0;;;;;;;;;;;;;GS_SEED;;;;;;
FaceUp;0.02929687;-0.296875;-0.9394531;0;;;;;;;;;;;;;GS_SEED;;;;;;
FaceUp;0.01953125;-0.296875;-0.9374999;0;;;;;;;;;;;;;GS_SEED;;;;;;
